2025-04-17|11:15:00|Withdrawal for cash|ATM|-50.00
2025-04-18|12:00:00|Grocery run|Trader Joe's|-72.10
2025-04-18|09:00:00|Bank interest earned|Bank of America|12.50
2025-04-18|16:00:00|Withdrawal for cash|ATM|-100.00
2025-04-18|10:00:00|Payment for Nanny|Orchid|300.00
2025-04-18|15:30:00|Freelance payment received|Client C|300.00
2025-04-18|12:30:00|Lunch delivery|DoorDash|-28.75
2025-04-18|18:30:00|Tickets to concert|Ticketmaster|-110.00
2025-04-20|09:30:00|Hardware upgrade|Micro Center|-155.30
2025-04-22|17:00:00|Payment for graphic design|Orchid|200.00
2025-04-23|10:15:45|Office stationery|Staples|-15.99
2025-04-23|14:00:00|Client meeting lunch|The Italian Place|-55.25
2025-04-24|08:00:00|Morning coffee|Local Cafe|-3.50
2025-04-24|16:45:20|Software license|Adobe|-49.99
2025-04-25|09:30:00|Monthly internet bill|Verizon|-80.00
2025-04-25|13:00:00|Deposit from freelance work|Upwork|350.00
2025-04-26|11:22:10|New monitor for work|Best Buy|-249.99
2025-04-26|19:00:00|Dinner with family|Pizza Place|-38.50
2025-04-27|10:00:00|Online course subscription|Coursera|-69.00